mainform;variation;count;details
camtar;camtar, camtars, camtard, camtar', cametards;28;camtar (18), camtars (5), camtard (3), camtar' (1), cametards (1)
chienneté;chienneté, chiennetée;24;chienneté (23), chiennetée (1)
terre-par;terre-par, terre-pa, terre-pa';24;terre-par (15), terre-pa (6), terre-pa' (3)
biffler;biffler, biffle, biffles, bifflé, biffleur, bifflage;26;biffler (12), biffle (9), biffles (2), bifflé (1), biffleur (1), bifflage (1)
de-mon;de-mon, des-mon;25;de-mon (24), des-mon (1)
be-bom;be-bom, be-boms, bebom, beboms, 'bes-bom', bé-bom;23;be-bom (18), be-boms (1), bebom (1), beboms (1), 'bes-bom' (1), bé-bom (1)
grosso;grosso, grossos;23;grosso (22), grossos (1)
te-teille;te-teille, tei-teille, té-teille, téteille, 'te-'teille, te-teilles, téteilles, teteilles, 'tei-teille, 'teille-'teille, 'teilles-teilles, teille-teille, tei-teilles, teiteille;23;te-teille (6), tei-teille (3), té-teille (2), téteille (2), 'te-'teille (1), te-teilles (1), téteilles (1), teteilles (1), 'tei-teille (1), 'teille-'teille (1), 'teilles-teilles (1), teille-teille (1), tei-teilles (1), teiteille (1)
javons;javons, javon, javaune;23;javons (21), javon (1), javaune (1)
puche-ca;puche-ca, puchka, puche-ca', puch-ca;25;puche-ca (20), puchka (3), puche-ca' (1), puch-ca (1)
ke-shne;ke-shne, ke-schne, ke-shné, keu-schne, keschne, ke-shne', ke-shnè, keuchnés, keush-né, cke-shne;24;ke-shne (6), ke-schne (6), ke-shné (3), keu-schne (2), keschne (2), ke-shne' (1), ke-shnè (1), keuchnés (1), keush-né (1), cke-shne (1)
camo;camo, camo';24;camo (22), camo' (2)
mdr;mdr;22;
pav'tar;pav'tar, pavtar, pavtars, pavtards, pav'tars, pav-tars, pavtard;22;pav'tar (6), pavtar (6), pavtars (4), pavtards (3), pav'tars (1), pav-tars (1), pavtard (1)
touze-par;touze-par, touzepar;23;touze-par (22), touzepar (1)
lacrymo;lacrymo, lacrymo', lacrimo, lacrimo';22;lacrymo (14), lacrymo' (5), lacrimo (2), lacrimo' (1)
ne-jau;ne-jau, nejau;25;ne-jau (23), nejau (2)
fé-ca;fé-ca, féca;24;fé-ca (21), féca (3)
te-por;te-por, tes-por, te-por', tepor;22;te-por (18), tes-por (2), te-por' (1), tepor (1)
ble-dia;ble-dia, ble-dias;22;ble-dia (21), ble-dias (1)
ze-trei;ze-trei, zetrei, ze-tre, ze-tré, zeutrei, zeutré;23;ze-trei (12), zetrei (7), ze-tre (1), ze-tré (1), zeutrei (1), zeutré (1)
cette-su;cette-su, cette-çu, cettes-su;21;cette-su (19), cette-çu (1), cettes-su (1)
sses-fe;sses-fe, seufé, sseufés, 'sses-fe', sses-fé, seuh-fe, sses-fè, ssefé;21;sses-fe (10), seufé (3), sseufés (2), 'sses-fe' (2), sses-fé (1), seuh-fe (1), sses-fè (1), ssefé (1)
quille-tran;quille-tran, kiltran;21;quille-tran (20), kiltran (1)
ronne-da;ronne-da, ronnes-da, rone-da;21;ronne-da (17), ronnes-da (3), rone-da (1)
tin-ma;tin-ma, tinmar, tins-ma;27;tin-ma (25), tinmar (1), tins-ma (1)
couiller;couiller, couillent;22;couiller (21), couillent (1)
gé-bou;gé-bou, ger-bou, gébou, gé'bou;21;gé-bou (8), ger-bou (8), gébou (4), gé'bou (1)
ze-bla;ze-bla, zebla, zeubla;22;ze-bla (17), zebla (3), zeubla (2)
so-per;so-per, soper, sos-per;21;so-per (18), soper (2), sos-per (1)
ne-jeu;ne-jeu, nes-jeu, nejeu;21;ne-jeu (11), nes-jeu (7), nejeu (3)
cheu;cheu, iatch-bi, tche-bi, che-bi, tches-bi, cheu', cheub, iatchs-bi;22;cheu (6), iatch-bi (6), tche-bi (3), che-bi (2), tches-bi (2), cheu' (1), cheub (1), iatchs-bi (1)
gent-gent;gent-gent, gen-gen, gen-gent;22;gent-gent (16), gen-gen (5), gen-gent (1)
breuch;breuch, bre-ch', breuch', bre-ch;20;breuch (9), bre-ch' (7), breuch' (3), bre-ch (1)
qué-cho;qué-cho, quée-cho, quécho;22;qué-cho (17), quée-cho (3), quécho (2)
que-ban;que-ban, ques-ban, que-ban';21;que-ban (17), ques-ban (3), que-ban' (1)
tre-traî;tre-traî, tre-trai, tres-traî, tres-trai;20;tre-traî (6), tre-trai (6), tres-traî (5), tres-trai (3)
tp;tp;20;tp (20)
ser-dan;ser-dan, se-dan, sez-dan;20;ser-dan (15), se-dan (3), sez-dan (2)
sson-boi;sson-boi, ssons-boi;19;sson-boi (16), ssons-boi (3)
me-seu;me-seu, me-se;22;me-seu (21), me-se (1)
fafa;fafa, fafa';18;fafa (17), fafa' (1)
nne-bo;nne-bo, ne-bo, nne-bo', nnes-bo;18;nne-bo (12), ne-bo (3), nne-bo' (2), nnes-bo (1)
llion-mi;llion-mi, llions-mi, llion-mis;19;llion-mi (15), llions-mi (3), llion-mis (1)
ssion-pre;ssion-pre, ssion-pré, ssions-pre, ssions-pré, sion-pre, sion-pré;18;ssion-pre (9), ssion-pré (5), ssions-pre (1), ssions-pré (1), sion-pre (1), sion-pré (1)
fle-gi;fle-gi, ffle-gi, flé-gi, ffles-gi, fle-gi', fle-gis;18;fle-gi (9), ffle-gi (3), flé-gi (2), ffles-gi (2), fle-gi' (1), fle-gis (1)
ffe-ta;ffe-ta, fe-ta, ffes-ta, ffer-ta;17;ffe-ta (8), fe-ta (6), ffes-ta (2), ffer-ta (1)
beuh-beuh;beuh-beuh, beubeuh, beu-beuh, beubeu, beu-beu;17;beuh-beuh (9), beubeuh (3), beu-beuh (2), beubeu (2), beu-beu (1)
'garette;'garette, garette, garettes, 'garettes, garet', garett', garette';18;'garette (8), garette (3), garettes (2), 'garettes (2), garet' (1), garett' (1), garette' (1)
glocké;glocké, glockés, glockées;17;glocké (15), glockés (1), glockées (1)
'sère;'sère, sère;17;'sère (16), sère (1)
